site_no
01605500
01606000
01606500
01611500
01614000
01632900
01638480
01644000
01658500
01659000
01664000
01667500
01669520
01673638
02011460
02038850
02053200
02070500
02077200
02081500
02082770
02082950
02084160
02084557
0208650112
02091000
02092500
02096846
02102908
02105900
02108000
02110500
02111180
02111500
02112120
02112360
02118500
02125000
02128000
02137727
02140991
02142000
02143000
02143040
02147500
02149000
02152100
02152285
02152474
02174250
02177000
02178400
02196000
02202600
02204130
02212600
02215100
02216180
02221525
02228500
02314500
02331000
02338523
02342070
02342850
02343225
02343940
02349900
02350900
02384540
02390000
02391840
03050000
03065000
03065400
03066000
03068800
03069500
03070500
03114500
03161000
03164000
03170000
03180500
03182500
03186500
03187500
03198350
03408500
03409500
03410210
03415000
03416000
03424730
03427500
03436690
03439000
03441000
03450000
03455500
03456500
03460000
03463300
03465500
03473000
03479000
03488000
03491000
03497300
03498500
03500000
03500240
03504000
03518500
03527220
03535000
03539778
03566525
03570835
03578000
03578500
03584020
03588500
03597210
03597590
03599450
03604000
07030392
07030500
